DecisionID,Decision,Description,Confidence,Q1FY26_Cost,Q1FY26_Savings,Q2FY26_Cost,Q2FY26_Savings,Q3FY26_Cost,Q3FY26_Savings,Q4FY26_Cost,Q4FY26_Savings,Q1FY27_Cost,Q1FY27_Savings,Q2FY27_Cost,Q2FY27_Savings,Q3FY27_Cost,Q3FY27_Savings,Q4FY27_Cost,Q4FY27_Savings,Q1FY28_Cost,Q1FY28_Savings,Q2FY28_Cost,Q2FY28_Savings
AOM-01,Implement Brambles moratorium on new analytics tools without prior approval,No new (in-scope) analytics tools are to be procured (across Brambles) without approval from Head of Global D&A + TS (who?),100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOM-04,Designate Github Copilot as the exclusive pair coding assistant for D&A software development,a) Agree Github Copilot as preferred D&A tool b) qualifying D&A roles &  access approval c) policies for use alongside VS Code & DBX Assistant d) blacklisting of alternative coding assistants ,100%,0,0,0,0,6,0,8,0,10,0,12,0,12,0,12,0,12,0,12,0
AOM-03,Migrate all Data Science data storage off local machines into cloud environments,"To improve our data security, and make ""hidden"" compute loads visible, reconfigure all DS team members tool compute usage and data storage on to cloud-hosted platforms ",100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOM-07,Implement a consumption-based tool recharge mechanism from Global D&A to regions,"To support future tool migration work, and to avoid blockers arising from Digital D&A budget limitations, agree a recharge mechanism with Finance and the regions so that analytics tool costs can be re-allocated in proportion to regions' usage. Re-use our existing FinOps processes and teams for this.",100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOM-05,Designate Soda as the Brambles-wide data observability tool & activate onboarding processes,a) make the Soda tool available to all D&A teams b) promote awareness c) agree recharge mechanism (consumption-based) d) retire Evidently and GE tools,100%,0,0,0,0,1,0,3,0,8,0,12,0,18,0,22,0,24,0,27,0
AOM-09,Migrate AMERICAS SQL server workloads to Databricks,"Migrate high priority analytics AMERICAS analytics workloads to Databricks from SQL SSIS & SSMS tools. This will produce a more integrated experience for analytic producers, better quaity products, and opex savings from legacy tool retirement",80%,0,0,0,0,50,0,35,25,0,40,0,40,0,40,0,40,0,40,0,40
AOM-02,Evaluate Alteryx vs Dataiku as the designated low-code data science tool for Global Finance Control team,"Proceed with evaluation, using the existing Finance Alteryx community and their existing use cases as real-world context for comparison. ",70%,0,0,0,0,30,0,40,0,0,50,0,50,0,50,0,50,0,50,0,50
AOM-06,Select & procure a designated graph database product for Brambles,"a) We need a mandated enterprise-wide graph database tool b) implement selection, procurement & onboarding",85%,0,0,0,0,0,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0
AOM-08,Onboard AMERICAS D&A team to the Databricks platform,"Databricks access provided to AMERICAS data scientists, engineers, analysts, BI developers. Existing LATAM, NA, and CAN workspaces, compute resources & data catalogs consolidated into a unified AMERICAS collection. Learning needs assessment conducted by Databricks & customised training plan designed.",100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOM-10,Designate A2A & MCP as the default protocols for agentic AI across Brambles,"Immediate adoption of two complementary open standards: Agent-to-Agent Protocol (A2A) and Model Context Protocol (MCP) as our enterprise foundation for agent-agent and agent-tool interworking. The alternative, fragmented proprietary solutions or no standards, risks creating expensive technical debt, vendor lock-in, and inability to participate in the emerging AI agent ecosystem.",90%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOM-11,Adjust scope & terms of the D&A Solution Review Board (SRB) and re-launch,Adjust scope & terms of the D&A Solution Review Board (SRB) and re-launch,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
